301000.SZ,肇民科技,上海
301001.SZ,凯淳股份,上海
301005.SZ,超捷股份,上海
601156.SS,东航物流,上海
301025.SZ,读客文化,上海
601825.SS,沪农商行,上海
301037.SZ,保立佳,上海
688071.SS,华依科技,上海
688718.SS,唯赛勃,上海
688798.SS,艾为电子,上海
301024.SZ,霍普股份,上海
688385.SS,复旦微电,上海
301046.SZ,能辉科技,上海
688766.SS,普冉股份,上海
605598.SS,上海港湾,上海
688121.SS,卓然股份,上海
688091.SS,上海谊众,上海
301060.SZ,兰卫医学,上海
301062.SZ,上海艾录,上海
301070.SZ,开勒股份,上海
688107.SS,安路科技,上海
301099.SZ,雅创电子,上海
688082.SS,盛美上海,上海
688212.SS,澳华内镜,上海
688230.SS,芯导科技,上海
688206.SS,概伦电子,上海
301166.SZ,优宁维,上海
688265.SS,南模生物,上海
688110.SS,东芯股份,上海
301228.SZ,实朴检测,上海
603122.SS,合富中国,上海
001266.SZ,宏英智能,上海
688163.SS,赛伦生物,上海
688238.SS,和元生物,上海
301151.SZ,冠龙节能,上海
688193.SS,仁度生物,上海
301257.SZ,普蕊斯,上海
688213.SS,思特威-W,上海
300257.SZ,开山股份,上海
301156.SZ,美农生物,上海
301289.SZ,国缆检测,上海
603170.SS,宝立食品,上海
603211.SS,晋拓股份,上海
688382.SS,益方生物-U,上海
688373.SS,盟科药业-U,上海
688271.SS,联影医疗,上海
688247.SS,宣泰医药,上海
688370.SS,丛麟科技,上海
688293.SS,奥浦迈,上海
688351.SS,微电生理,上海
920799.BJ,艾融软件,上海
920405.BJ,海希通讯,上海
920961.BJ,创远信科,上海
920346.BJ,威贸电子,上海
688391.SS,钜泉科技,上海
301161.SZ,唯万密封,上海
688392.SS,骄成超声,上海
603057.SS,紫燕食品,上海
301273.SZ,瑞晨环保,上海
688031.SS,星环科技-U,上海
688061.SS,灿瑞科技,上海
920139.BJ,华岭股份,上海
688073.SS,毕得医药,上海
301230.SZ,泓博医药,上海
688372.SS,伟测科技,上海
920414.BJ,欧普泰,上海
920300.BJ,辰光医疗,上海
688435.SS,英方软件,上海
301419.SZ,阿莱德,上海
301303.SZ,真兰仪表,上海
603153.SS,上海建科,上海
920541.BJ,铁大科技,上海
688484.SS,南芯科技,上海
688507.SS,索辰科技,上海
688479.SS,友车科技,上海
688593.SS,新相微,上海
301315.SZ,威士顿,上海
688602.SS,康鹏科技,上海
